StateCode,StateName,TypeOfDisability,TypeOfRegion,Sex,TotalWork,Nonworkers
0,INDIA,TotalDisabledPopulation, Total ,Persons,9744386,17070608
0,INDIA,TotalDisabledPopulation, Total ,Males,7072825,7915768
0,INDIA,TotalDisabledPopulation, Total ,Females,2671561,9154840
0,INDIA,TotalDisabledPopulation, Rural ,Persons,7004120,11632238
0,INDIA,TotalDisabledPopulation, Rural ,Males,4912012,5498547
0,INDIA,TotalDisabledPopulation, Rural ,Females,2092108,6133691
0,INDIA,TotalDisabledPopulation, Urban ,Persons,2740266,5438370
0,INDIA,TotalDisabledPopulation, Urban ,Males,2160813,2417221
0,INDIA,TotalDisabledPopulation, Urban ,Females,579453,3021149
0,INDIA,InSeeing, Total ,Persons,1891919,3141512
0,INDIA,InSeeing, Total ,Males,1346034,1292994
0,INDIA,InSeeing, Total ,Females,545885,1848518
0,INDIA,InSeeing, Rural ,Persons,1352621,2150937
0,INDIA,InSeeing, Rural ,Males,921956,899492
0,INDIA,InSeeing, Rural ,Females,430665,1251445
0,INDIA,InSeeing, Urban ,Persons,539298,990575
0,INDIA,InSeeing, Urban ,Males,424078,393502
0,INDIA,InSeeing, Urban ,Females,115220,597073
0,INDIA,InHearing, Total ,Persons,2062058,3010856
0,INDIA,InHearing, Total ,Males,1444083,1234501
0,INDIA,InHearing, Total ,Females,617975,1776355
0,INDIA,InHearing, Rural ,Persons,1443251,1950477
0,INDIA,InHearing, Rural ,Males,966542,817884
0,INDIA,InHearing, Rural ,Females,476709,1132593
0,INDIA,InHearing, Urban ,Persons,618807,1060379
0,INDIA,InHearing, Urban ,Males,477541,416617
0,INDIA,InHearing, Urban ,Females,141266,643762
0,INDIA,InSpeech, Total ,Persons,839258,1159434
0,INDIA,InSpeech, Total ,Males,600179,522808
0,INDIA,InSpeech, Total ,Females,239079,636626
0,INDIA,InSpeech, Rural ,Persons,566849,737091
0,INDIA,InSpeech, Rural ,Males,386552,348446
0,INDIA,InSpeech, Rural ,Females,180297,388645
0,INDIA,InSpeech, Urban ,Persons,272409,422343
0,INDIA,InSpeech, Urban ,Males,213627,174362
0,INDIA,InSpeech, Urban ,Females,58782,247981
0,INDIA,InMovement, Total ,Persons,2034876,3401950
0,INDIA,InMovement, Total ,Males,1601135,1769366
0,INDIA,InMovement, Total ,Females,433741,1632584
0,INDIA,InMovement, Rural ,Persons,1535250,2500491
0,INDIA,InMovement, Rural ,Males,1184342,1319187
0,INDIA,InMovement, Rural ,Females,350908,1181304
0,INDIA,InMovement, Urban ,Persons,499626,901459
